category_id,category_name,category_description,category_access_level,category_created_by,category_creation_date,category_last_modified_by,category_last_modified_date,category_status,category_priority
82,individual,Treat do what state quickly economic notice.,Medium,Admin,2024-03-10,Admin,2024-07-02,Inactive,3
220,place,Maintain newspaper decide nice need.,High,Admin,2024-04-26,Admin,2024-03-28,Inactive,4
953,hold,Trial exactly place improve outside make a.,High,Admin,2024-06-14,Admin,2024-06-25,Active,5
384,call,Hour fine station.,Low,Admin,2024-05-25,Admin,2024-05-28,Active,2
623,far,Politics career cut consider impact also build.,Medium,Admin,2024-02-03,Admin,2024-05-04,Inactive,3
981,think,Successful five officer ready school western.,Medium,Admin,2024-03-12,Admin,2024-06-22,Inactive,2
45,leg,Reduce remain worker light newspaper development.,High,Admin,2024-01-15,Admin,2024-07-24,Active,1
600,brother,Go interview site by official woman candidate.,Medium,Admin,2024-08-09,Admin,2024-05-23,Active,5
94,participant,Cost over follow store product security.,Low,Admin,2024-06-22,Admin,2024-06-02,Active,2
821,instead,Not plan late may hope other service.,Low,Admin,2024-02-23,Admin,2024-02-14,Active,2
223,behavior,Sing quality no full policy by result pretty.,Medium,Admin,2024-06-30,Admin,2024-03-25,Active,4
946,method,Beat always group decade how rest.,Medium,Admin,2024-05-20,Admin,2024-07-13,Active,3
2,table,Thousand only small language bit total run determine.,Medium,Admin,2024-05-11,Admin,2024-05-13,Inactive,3
471,game,All war whole care science.,Low,Admin,2024-04-22,Admin,2024-07-13,Active,5
581,today,Little summer who participant report structure white worker.,High,Admin,2024-05-29,Admin,2024-07-19,Inactive,3
728,information,Magazine she challenge him upon address.,Medium,Admin,2024-07-02,Admin,2024-03-04,Inactive,3
650,party,Company director what scientist.,Medium,Admin,2024-07-13,Admin,2024-06-06,Active,1
971,seat,Fill half middle way.,Medium,Admin,2024-06-11,Admin,2024-01-23,Active,5
921,common,Heavy shoulder expect.,High,Admin,2024-04-30,Admin,2024-06-18,Active,2
214,song,Bit hear Democrat reason.,Medium,Admin,2024-01-10,Admin,2024-05-29,Inactive,2
356,box,Own and their agreement.,Medium,Admin,2024-01-22,Admin,2024-01-24,Inactive,5
78,race,Partner agent another term television.,Low,Admin,2024-01-05,Admin,2024-02-22,Inactive,5
481,significant,Color may turn computer front care.,Medium,Admin,2024-02-16,Admin,2024-01-29,Active,4
614,shoulder,To foreign ever first little.,Low,Admin,2024-06-02,Admin,2024-04-21,Inactive,5
684,discover,Religious per eye support center four wish daughter.,Medium,Admin,2024-06-10,Admin,2024-05-20,Inactive,1
618,culture,Bit great continue decision already.,Medium,Admin,2024-04-08,Admin,2024-07-26,Inactive,3
940,later,Put back help senior since.,Low,Admin,2024-08-05,Admin,2024-05-16,Inactive,3
926,employee,Force budget environment TV pressure last.,Low,Admin,2024-06-02,Admin,2024-02-16,Active,2
531,science,Let yourself over because.,Medium,Admin,2024-08-12,Admin,2024-01-22,Inactive,1
630,experience,Set no environment month.,High,Admin,2024-07-26,Admin,2024-07-04,Inactive,3
294,another,Must song six ask know mention ask.,Low,Admin,2024-02-10,Admin,2024-05-05,Inactive,4
636,police,Line personal rule price.,Medium,Admin,2024-06-01,Admin,2024-07-05,Inactive,2
759,born,Become which research seek.,High,Admin,2024-01-10,Admin,2024-02-11,Active,5
438,another,Clear attention significant floor red.,Low,Admin,2024-01-08,Admin,2024-05-29,Active,1
495,write,Hope material public determine research fill.,Low,Admin,2024-05-19,Admin,2024-02-04,Inactive,1
508,relate,Institution campaign front answer social white whose.,High,Admin,2024-07-24,Admin,2024-03-31,Inactive,5
363,reduce,Turn voice large eight speech picture.,Low,Admin,2024-04-04,Admin,2024-02-19,Active,5
726,coach,Himself our society agree.,High,Admin,2024-01-15,Admin,2024-05-15,Inactive,5
58,way,Later they different out pay well computer.,Medium,Admin,2024-04-24,Admin,2024-08-07,Inactive,1
989,bar,Thus according wall wall street.,Low,Admin,2024-05-13,Admin,2024-05-30,Inactive,1
746,morning,Their add positive lawyer gun.,Low,Admin,2024-02-24,Admin,2024-08-05,Active,3
957,money,Provide anyone risk control trouble.,High,Admin,2024-01-08,Admin,2024-07-08,Inactive,4
180,either,Site exactly ever order see.,High,Admin,2024-05-29,Admin,2024-07-27,Inactive,5
747,enjoy,Decade worker force up include piece nature.,Low,Admin,2024-05-16,Admin,2024-02-10,Inactive,1
373,local,Community myself majority probably start.,High,Admin,2024-06-08,Admin,2024-06-19,Inactive,4
228,family,Now improve save poor side form know.,Low,Admin,2024-01-26,Admin,2024-02-16,Inactive,2
30,society,Sit form break mention painting.,Low,Admin,2024-06-18,Admin,2024-06-16,Inactive,4
590,institution,Box travel amount pay management stock impact.,Low,Admin,2024-05-28,Admin,2024-03-24,Inactive,2
839,push,Vote decision group.,Medium,Admin,2024-03-09,Admin,2024-04-25,Inactive,5
643,right,Energy late full view challenge.,Medium,Admin,2024-04-18,Admin,2024-02-23,Active,3
533,worry,Sea well the population.,Medium,Admin,2024-03-25,Admin,2024-06-17,Inactive,3
376,easy,Under write network question huge bad decide.,Medium,Admin,2024-04-04,Admin,2024-07-13,Active,1
592,I,Success health majority full use.,High,Admin,2024-02-20,Admin,2024-03-20,Inactive,1
689,talk,Pay approach yourself hold section toward character.,Medium,Admin,2024-05-26,Admin,2024-08-09,Active,2
969,short,Know argue east according there third whom.,High,Admin,2024-06-28,Admin,2024-02-24,Active,5
365,personal,Involve lead foreign against anything director.,High,Admin,2024-02-16,Admin,2024-01-08,Active,4
868,recognize,Within claim reflect interesting surface member yourself.,Low,Admin,2024-02-22,Admin,2024-02-23,Active,1
875,simply,Near high build cup several trouble training hand.,Medium,Admin,2024-04-12,Admin,2024-01-14,Inactive,5
298,standard,Kitchen over seat open level his.,High,Admin,2024-01-27,Admin,2024-04-15,Inactive,1
230,what,Least finally drop.,Low,Admin,2024-06-11,Admin,2024-02-16,Active,3
12,town,Box lot show move once style.,High,Admin,2024-01-22,Admin,2024-03-03,Active,4
190,order,Half career laugh control interesting read realize word.,Medium,Admin,2024-05-30,Admin,2024-05-29,Inactive,4
713,gas,Course vote carry work door key.,Medium,Admin,2024-04-02,Admin,2024-08-10,Active,3
299,true,It court daughter vote how service best.,Low,Admin,2024-07-04,Admin,2024-01-08,Inactive,1
753,suffer,Market so manage gas now make.,High,Admin,2024-07-03,Admin,2024-03-06,Active,3
317,drop,Accept street its think similar.,Low,Admin,2024-06-12,Admin,2024-03-22,Inactive,5
358,stand,East check everything baby inside.,High,Admin,2024-03-21,Admin,2024-06-02,Inactive,5
617,thousand,Now garden which about student interesting evidence.,High,Admin,2024-02-29,Admin,2024-03-23,Active,5
539,green,Trial on although democratic plan.,Medium,Admin,2024-06-29,Admin,2024-01-07,Inactive,2
323,time,Course cover idea save important.,Medium,Admin,2024-03-07,Admin,2024-03-10,Active,2
28,station,Individual fish forget attack husband lay reflect piece.,High,Admin,2024-02-23,Admin,2024-06-15,Inactive,1
70,area,Laugh major head standard any behavior.,High,Admin,2024-03-17,Admin,2024-05-02,Inactive,3
182,range,Husband arrive partner thank medical.,High,Admin,2024-04-23,Admin,2024-05-14,Inactive,1
632,those,According year decade professor require cold kind.,Low,Admin,2024-01-03,Admin,2024-01-15,Inactive,1
386,option,Out other where six mind.,Medium,Admin,2024-02-28,Admin,2024-02-18,Active,2
647,tell,Push billion rule specific.,Medium,Admin,2024-04-21,Admin,2024-07-31,Active,3
787,rich,Avoid night security himself including subject east western.,High,Admin,2024-08-08,Admin,2024-06-12,Inactive,1
322,east,Seek provide trip.,Low,Admin,2024-01-19,Admin,2024-05-09,Inactive,1
564,tax,Book maintain speak beyond.,High,Admin,2024-07-13,Admin,2024-03-22,Inactive,1
999,simple,Kid second prevent anyone strategy although.,Medium,Admin,2024-03-08,Admin,2024-04-22,Active,2
526,between,Direction those book health approach.,Low,Admin,2024-01-03,Admin,2024-04-01,Active,4
51,call,Else medical manage put check son purpose finish.,Medium,Admin,2024-02-17,Admin,2024-02-08,Inactive,5
943,task,Instead fast work trade.,High,Admin,2024-03-14,Admin,2024-04-12,Active,3
700,nothing,Enough study must interest affect trial.,Medium,Admin,2024-03-18,Admin,2024-04-03,Inactive,2
519,animal,Far indicate door personal change happen marriage.,Medium,Admin,2024-05-31,Admin,2024-01-22,Inactive,2
646,live,Our you may region box even indicate.,High,Admin,2024-02-08,Admin,2024-04-19,Active,2
496,hair,Another low assume beautiful.,High,Admin,2024-07-10,Admin,2024-06-26,Inactive,3
572,hospital,Our occur deal subject store election hour head.,Low,Admin,2024-07-14,Admin,2024-03-07,Active,2
896,occur,Development history order world physical.,Low,Admin,2024-02-25,Admin,2024-04-20,Active,5
11,respond,Represent argue try child six for town.,Low,Admin,2024-05-31,Admin,2024-04-25,Active,3
553,agent,Condition town important civil family.,High,Admin,2024-06-02,Admin,2024-05-28,Inactive,4
