product_id,product_name,product_description,product_Quantitystock,product_Price,trend_start_date,Product_Weight,Product_sale_date,Product_year,remaining products
3,Fear,Night certainly degree note.,12,557.57,2024-08-07,2.19,2024-02-26,2004,6
442,Spend,Along culture power science whatever today just.,49,794.42,2024-06-05,3.59,2024-02-01,2005,8
60,Bar,Seat after task trade.,31,787.81,2024-01-06,1.25,2024-07-25,2022,12
213,Church,I memory might effort per hard pretty discover.,40,125.27,2024-02-20,4.94,2024-01-10,1987,15
158,Charge,Bank senior get exactly understand somebody.,49,659.05,2024-03-22,4.77,2024-01-28,1977,17
924,Bad,Seem service goal fast soon never.,2,422.9,2024-05-14,2.46,2024-02-23,2015,4
379,Cost,Discuss police real knowledge travel.,37,901.82,2024-05-15,3.27,2024-02-29,2002,19
97,Parent,Source lead hold interest.,43,609.41,2024-05-28,1.17,2024-03-28,1992,8
629,Whatever,Lead add what.,28,415.31,2024-03-01,3.73,2024-01-27,1978,20
170,Build,Staff threat cell.,37,542.28,2024-03-10,4.5,2024-02-12,2021,12
567,Audience,Management western or long coach professional.,36,992.15,2024-07-16,1.04,2024-03-27,1996,0
107,Religious,Way available hit keep wrong everybody perhaps.,16,263.83,2024-07-01,4.24,2024-04-08,1989,18
457,Third,Yourself firm medical remember blood boy whether baby.,47,958.77,2024-06-11,3.63,2024-02-27,1989,2
476,Reveal,Heavy civil remain direction.,49,200.38,2024-03-16,1.74,2024-06-29,2001,0
515,Almost,Under make sort without upon song.,44,513.42,2024-06-01,0.85,2024-07-06,1983,0
405,Prove,Buy course behind.,27,489.17,2024-06-26,1.29,2024-03-23,2013,5
848,Try,Consumer to author suffer.,31,572.08,2024-07-01,0.6,2024-05-30,1977,13
705,Model,Stop drive campaign act cup mind.,18,570.07,2024-07-29,2.65,2024-05-21,2013,1
903,Interesting,Leader move raise truth form market note.,19,108.07,2024-04-16,3.08,2024-07-16,1994,7
117,Property,Around risk look hit how.,7,788.35,2024-01-08,1.71,2024-01-31,1989,3
870,Big,Window cut life ahead.,12,395.32,2024-07-22,1.58,2024-06-13,2002,19
586,Thank,Town quickly medical to child free arm.,23,918.61,2024-06-24,1.37,2024-03-13,2011,18
403,Place,Plant across wrong heart land small.,33,428.87,2024-05-26,2.81,2024-04-05,1976,16
18,Own,Carry behavior language rock water garden care stop.,40,658.26,2024-05-07,4.7,2024-04-19,1971,9
498,Add,With prove six coach education ever wonder.,6,394.47,2024-01-31,3.01,2024-03-03,2019,20
86,Attention,Kid accept serious present court better season.,36,748.44,2024-04-28,4.38,2024-07-26,1987,7
712,Security,Popular surface national likely image better your.,27,155.88,2024-02-02,0.79,2024-05-06,2022,7
799,Real,Drive court because call.,4,775.75,2024-02-29,2.6,2024-04-01,2005,0
387,Make,Share source community might.,33,964.62,2024-04-15,1.62,2024-06-28,1990,11
293,If,Something late play source sell election tell.,29,515.61,2024-03-07,1.96,2024-06-12,1990,13
547,Half,Event born country key forward discuss.,50,463.47,2024-04-16,1.28,2024-02-29,2018,12
797,Process,Part somebody since time despite.,21,120.4,2024-01-13,4.09,2024-03-18,2015,5
52,Such,Site simply six reason phone forward.,18,252.1,2024-02-26,4.04,2024-04-11,1972,15
633,Keep,Paper summer certain this.,6,834.12,2024-01-08,1.5,2024-02-26,1994,13
679,Picture,Kitchen improve know reason throw serious ability strategy.,42,998.27,2024-04-27,1.01,2024-01-22,2010,14
157,Bad,Each old since the his third few explain.,2,408.49,2024-03-01,3.93,2024-07-02,1998,0
222,Newspaper,A him big himself whether husband majority.,8,943.09,2024-08-06,2.31,2024-06-22,2001,6
300,Similar,State foot forward officer song situation serve.,11,295.64,2024-06-17,2.05,2024-05-09,2021,2
670,Agree,Game tax stage religious.,13,460.28,2024-01-23,3.36,2024-05-06,2011,9
248,Account,Goal do develop animal show most.,50,470.73,2024-05-17,4.54,2024-01-21,1992,9
788,Page,Key military effort play.,22,967.94,2024-05-31,4.09,2024-04-05,2021,11
959,Five,Give season bar radio wife cold.,24,671.92,2024-07-04,2.41,2024-06-30,2002,14
10,Remember,Kid street front.,7,661.78,2024-01-30,0.51,2024-07-27,1984,1
172,Bill,Child evening stage past film anything.,26,761.91,2024-07-10,1.55,2024-01-18,1994,10
75,Everyone,Now plant enough less similar create.,37,417.59,2024-07-14,4.01,2024-06-24,1998,9
657,Boy,This recognize election however common.,19,604.19,2024-01-26,4.5,2024-06-21,1992,1
794,With,Even hand responsibility hot nearly fine.,5,444.06,2024-05-10,4.55,2024-01-14,2015,14
267,Probably,Rock summer onto step treatment instead.,32,245.46,2024-01-23,1.44,2024-02-13,1976,18
802,School,Appear everybody of produce east.,14,992.19,2024-06-28,0.97,2024-05-18,2012,1
557,Grow,Left stop run early total tell.,22,961.72,2024-02-17,2.26,2024-03-30,2012,11
736,Kind,Military night letter the.,43,821.59,2024-07-12,4.49,2024-02-25,2009,12
635,Instead,Make behind couple.,20,417.41,2024-02-15,2.87,2024-01-06,1970,3
87,Low,Whose improve adult.,44,339.83,2024-05-03,2.19,2024-04-03,1971,14
142,Newspaper,Follow future care lay.,37,555.33,2024-01-20,2.01,2024-05-19,1990,7
890,Hard,Number minute forward night rock.,30,141.29,2024-01-05,0.96,2024-07-26,2018,18
101,Drop,Opportunity Democrat ahead identify tell picture field.,46,256.77,2024-05-06,4.65,2024-02-15,2014,3
950,Line,Few management measure check.,4,274.11,2024-06-29,2.16,2024-03-05,1973,1
707,Kind,Become deal party cause stop of though.,18,769.75,2024-03-22,1.94,2024-01-21,1980,3
475,Mrs,Word main than huge remember drive.,28,526.9,2024-04-16,2.15,2024-03-24,1987,3
988,A,Kid us rest big sign.,17,921.64,2024-03-04,2.23,2024-03-10,1985,2
431,Class,Final treatment difficult yourself enough.,15,517.18,2024-01-04,1.06,2024-04-22,1970,5
666,Give,Environmental speak remain with specific lead.,38,848.39,2024-06-26,4.85,2024-03-20,2017,11
706,Because,Score thus skill suffer begin car whom treat.,44,162.22,2024-04-18,3.64,2024-07-25,2006,5
347,Thought,Morning by marriage true mean however drop.,27,880.73,2024-04-04,3.93,2024-06-05,1997,15
140,Without,Among television employee mission day possible.,3,600.15,2024-05-03,3.87,2024-05-03,1988,5
554,Present,Day section even top still model.,40,931.2,2024-05-04,2.56,2024-06-24,2021,12
892,Side,Character almost social put trade material space.,30,876.63,2024-04-14,0.88,2024-05-05,1988,19
320,Mind,Her require toward candidate success whom sound.,38,718.16,2024-01-11,3.58,2024-03-27,1980,11
183,During,Deep church then nothing prepare entire prove.,29,137.9,2024-02-23,2.08,2024-01-30,1978,20
901,Job,Red rule themselves full.,46,119.27,2024-02-02,0.66,2024-08-09,1970,10
616,Tv,Walk minute phone forward.,45,174.73,2024-07-03,2.6,2024-03-10,2010,13
309,Miss,Coach reach investment good party wife.,24,718.58,2024-07-12,1.19,2024-07-30,1991,18
276,So,Help fear consider still.,38,430.63,2024-06-10,1.77,2024-07-13,1981,20
594,Approach,Guess cost happy man.,38,993.01,2024-01-02,4.8,2024-05-26,2004,1
756,Maybe,Reflect impact even you picture.,14,835.58,2024-04-04,1.6,2024-05-02,1979,20
315,Commercial,Without structure occur discuss.,49,174.18,2024-06-12,2.06,2024-04-27,1987,15
262,Teach,President own hundred tax although why take.,8,225.82,2024-07-31,3.04,2024-04-21,2003,10
720,Wait,Decide from weight land certain.,49,133.35,2024-05-01,1.66,2024-01-15,1984,4
238,Mr,Anything step reality life we what there.,34,392.67,2024-06-12,1.46,2024-02-21,1990,8
277,Soldier,Scientist happen check plant want.,11,826.72,2024-08-11,1.88,2024-05-06,1978,5
56,Compare,Baby this development professional focus information.,37,926.63,2024-06-03,2.63,2024-06-01,2024,15
383,Sit,Deal moment rather entire let.,33,685.24,2024-06-05,1.27,2024-01-17,1979,2
575,Only,Then material at break already however.,31,446.37,2024-05-17,1.28,2024-04-12,2022,19
128,Perform,Hold national effort.,28,214.26,2024-06-27,1.28,2024-06-19,1999,12
865,Report,Arrive seven model common.,3,436.98,2024-01-02,1.72,2024-04-28,1973,14
991,President,Paper choice low attack occur despite southern voice.,27,520.46,2024-06-16,1.8,2024-04-15,1971,1
779,Rock,Away success idea lose involve happen.,38,765.89,2024-04-10,1.04,2024-05-11,1992,7
601,Another,Oil usually give thing.,45,643.69,2024-06-19,2.12,2024-02-04,1987,20
129,Want,Stop senior number few worker.,38,424.88,2024-07-10,0.65,2024-03-27,2012,17
701,Event,Consider forget wear suffer ok camera.,12,282.53,2024-01-18,2.44,2024-06-24,2015,13
571,Concern,What goal discover factor grow fact.,2,540.6,2024-01-11,3.6,2024-01-29,2010,5
792,Station,Cut court research material affect continue accept.,43,568.0,2024-04-25,1.5,2024-03-11,1986,13
578,Southern,So send him customer value.,31,858.03,2024-04-01,3.45,2024-02-16,2007,2
257,Growth,Art past if job foreign.,44,298.13,2024-07-02,2.11,2024-01-28,2015,2
453,Reflect,Standard nearly one.,13,322.63,2024-06-12,2.12,2024-01-04,1993,1
451,Force,Sign woman lose recognize hot.,47,635.26,2024-08-01,2.25,2024-05-31,2023,12
869,The,Lot four each sure bed money president remain.,10,352.5,2024-06-07,3.83,2024-01-13,2021,17
909,Religious,Age fall model brother share policy.,4,790.2,2024-01-07,4.07,2024-08-12,2001,6
374,Eat,Require would bar these need piece.,22,598.09,2024-01-03,1.25,2024-05-13,1977,17
717,Girl,Analysis place sense sell establish large.,14,514.24,2024-01-02,3.63,2024-02-22,1988,6
640,Property,Section teacher world term.,22,464.97,2024-02-27,0.75,2024-02-29,1984,11
930,Few,Local next score talk series maintain reduce.,21,901.51,2024-04-07,2.23,2024-04-21,1999,20
855,Site,Bad society financial senior new stuff hot.,50,124.21,2024-03-06,0.82,2024-05-11,2017,18
703,Well,Study professional letter serious upon.,38,147.72,2024-04-22,2.14,2024-02-22,1974,5
503,Fast,Seek community us activity apply property serious.,5,413.79,2024-02-08,1.07,2024-08-09,2019,20
668,Practice,Service certainly some tonight cell.,29,779.65,2024-01-26,3.5,2024-04-25,2015,1
501,Land,Seek open available treat wind six.,36,506.18,2024-07-29,3.92,2024-07-14,1992,2
85,Still,Final middle cup well positive.,46,425.48,2024-03-27,2.6,2024-01-27,1993,3
31,Less,Ever think exist threat give contain tax miss.,14,705.69,2024-07-31,4.74,2024-05-02,1988,6
750,Stock,Right participant television attorney sea best rich.,28,412.34,2024-05-07,1.42,2024-01-06,1988,0
187,East,Professional improve share responsibility significant.,13,698.72,2024-03-11,3.51,2024-06-26,2021,16
335,Fund,Focus single eye apply behind away.,22,226.04,2024-08-06,2.03,2024-05-07,2013,12
775,Modern,Reduce nation author finish truth popular body.,15,899.38,2024-02-21,3.52,2024-08-13,1972,12
579,Red,Mind season he others which degree floor.,41,609.15,2024-05-11,4.25,2024-03-28,1993,2
954,Tonight,Her decision member really prepare.,37,783.36,2024-03-10,1.24,2024-01-14,1993,3
900,Thing,Write art job determine discussion eat.,1,361.35,2024-06-22,1.81,2024-03-23,1989,11
995,Marriage,Resource mouth drop live lay meeting particularly.,16,735.75,2024-04-25,1.78,2024-05-30,2006,17
237,Beat,Cover in reach personal minute Republican.,31,116.11,2024-06-13,3.5,2024-08-09,1992,20
33,Help,Stock guess goal Republican resource.,4,486.98,2024-01-18,1.79,2024-07-04,1975,5
6,Well,Key bill your hand.,16,906.86,2024-02-22,2.22,2024-03-24,1989,15
755,Different,Happy rule blood government bar threat simple.,4,788.06,2024-04-30,4.44,2024-06-14,2020,17
520,National,Sure computer interest list themselves kid.,45,577.86,2024-08-06,3.28,2024-04-25,1983,0
859,Board,Think save everyone hear society parent talk.,47,829.32,2024-03-06,2.98,2024-03-16,2007,2
548,Speech,Think hope analysis threat charge.,48,519.56,2024-03-27,4.93,2024-03-01,2016,5
942,Bad,Certain find response commercial.,38,438.66,2024-08-02,1.3,2024-06-19,1983,6
801,Education,Draw success control heart rock six.,50,721.67,2024-02-16,1.33,2024-04-16,2011,17
512,Rest,Her identify partner style.,32,604.09,2024-01-27,3.25,2024-05-09,2023,11
895,Material,Protect system public site blood determine last.,46,655.06,2024-06-14,1.63,2024-01-11,1983,6
939,Drug,Fund end machine push campaign.,19,710.55,2024-05-15,1.7,2024-03-31,1972,13
264,Learn,Difference already sign something feel whom.,22,294.85,2024-05-08,4.42,2024-05-15,2011,12
820,Since,Job arrive professor grow sing father.,39,373.9,2024-05-14,2.18,2024-07-02,2017,8
366,Meeting,Later share shoulder activity trip.,37,791.4,2024-04-25,3.61,2024-03-23,1976,12
265,At,Book thing meeting military top.,46,334.76,2024-03-29,3.23,2024-02-04,1988,15
38,We,There hotel believe mission per free against.,19,339.21,2024-01-11,2.46,2024-07-18,1986,1
278,Will,Account turn ability according garden turn.,13,986.61,2024-04-11,3.79,2024-03-28,2010,12
162,Grow,Great those buy market bed.,15,598.7,2024-03-11,1.55,2024-01-23,1997,16
251,Catch,Sister lead traditional big ever paper hold.,24,406.72,2024-02-16,2.69,2024-07-11,2001,18
48,Success,Pretty before single summer.,18,847.0,2024-07-31,0.81,2024-04-30,1986,9
965,Role,I individual decade.,14,665.8,2024-04-25,4.83,2024-08-05,2022,5
566,Ever,Southern activity some tell.,49,354.44,2024-03-05,3.95,2024-02-10,1995,16
535,Which,Stay Congress throw poor.,9,325.7,2024-08-03,4.84,2024-08-01,1973,19
862,Read,Often chair history.,44,352.12,2024-04-27,3.7,2024-03-18,1997,2
857,Off,Least determine every a.,33,355.41,2024-02-01,3.63,2024-06-06,2014,9
231,Movie,Work seem course continue model television.,8,806.66,2024-07-06,2.51,2024-05-27,2005,6
695,Feeling,Artist drive business trial the common.,29,906.73,2024-07-05,4.77,2024-05-11,2016,4
434,Much,May worry learn seat crime father style.,38,422.53,2024-07-21,3.61,2024-06-30,1975,7
976,Section,Always meeting how one catch small each.,43,468.99,2024-06-06,0.68,2024-02-06,2006,13
290,From,Strategy heart finish financial.,19,862.15,2024-04-12,1.35,2024-03-31,1982,6
114,Almost,This best respond left day brother expect.,50,961.05,2024-06-04,2.88,2024-08-02,2013,10
